DATE,Base: Total,Base: Currency in Circulation
2002-01-06,659930.0,643.044
2002-01-13,659930.0,638.956
2002-01-20,652179.0,632.719
2002-01-27,652179.0,632.017
2002-02-03,649587.0,630.409
2002-02-10,649587.0,631.843
2002-02-17,655271.0,635.017
2002-02-24,655271.0,638.84
2002-03-03,657321.0,637.836
2002-03-10,657321.0,638.543
2002-03-17,657943.0,639.616
2002-03-24,657943.0,640.023
2002-03-31,661137.0,640.608
2002-04-07,661137.0,642.93
2002-04-14,663255.0,644.043
2002-04-21,663255.0,643.836
2002-04-28,664081.0,643.509
2002-05-05,664081.0,644.267
2002-05-12,665556.0,646.492
2002-05-19,665556.0,647.781
2002-05-26,671425.0,648.855
2002-06-02,671425.0,654.071
2002-06-09,672481.0,654.441
2002-06-16,672481.0,654.398
2002-06-23,673438.0,654.82
2002-06-30,673438.0,655.436
2002-07-07,680268.0,659.984
2002-07-14,680268.0,664.099
2002-07-21,679002.0,661.441
2002-07-28,679002.0,659.685
2002-08-04,678557.0,659.59
2002-08-11,678557.0,660.92
2002-08-18,678493.0,660.893
2002-08-25,678493.0,660.401
2002-09-01,682392.0,660.018
2002-09-08,682392.0,664.329
2002-09-15,680464.0,663.56
2002-09-22,680464.0,661.153
2002-09-29,679655.0,659.713
2002-10-06,679655.0,660.138
2002-10-13,681277.0,661.683
2002-10-20,681277.0,664.412
2002-10-27,682498.0,662.855
2002-11-03,682498.0,662.102
2002-11-10,685340.0,663.948
2002-11-17,685340.0,668.079
2002-11-24,690035.0,667.813
2002-12-01,690035.0,669.935
2002-12-08,694976.0,674.544
2002-12-15,694976.0,674.339
2002-12-22,700058.0,675.482
2002-12-29,700058.0,681.523
2003-01-05,705024.0,686.685
2003-01-12,705024.0,683.223
2003-01-19,698187.0,676.426
2003-01-26,698187.0,675.941
2003-02-02,695812.0,674.782
2003-02-09,695812.0,675.778
2003-02-16,700744.0,678.459
2003-02-23,700744.0,682.83
2003-03-02,704149.0,682.262
2003-03-09,704149.0,682.387
2003-03-16,704272.0,683.029
2003-03-23,704272.0,683.717
2003-03-30,706899.0,684.519
2003-04-06,706899.0,685.884
2003-04-13,708600.0,686.974
2003-04-20,708600.0,687.634
2003-04-27,710883.0,687.541
2003-05-04,710883.0,687.244
2003-05-11,710810.0,688.815
2003-05-18,710810.0,689.722
2003-05-25,716382.0,689.936
2003-06-01,716382.0,693.612
2003-06-08,714790.0,692.938
2003-06-15,714790.0,692.19
2003-06-22,713857.0,691.54
2003-06-29,713857.0,691.146
2003-07-06,718537.0,693.612
2003-07-13,718537.0,697.862
2003-07-20,717402.0,694.526
2003-07-27,717402.0,692.719
2003-08-03,716946.0,692.566
2003-08-10,716946.0,694.304
2003-08-17,720899.0,694.989
2003-08-24,720899.0,694.728
2003-08-31,723122.0,694.765
2003-09-07,723122.0,700.111
2003-09-14,720463.0,698.497
2003-09-21,720463.0,696.224
2003-09-28,721232.0,695.964
2003-10-05,721232.0,696.782
2003-10-12,722346.0,698.99
2003-10-19,722346.0,703.121
2003-10-26,727073.0,702.633
2003-11-02,727073.0,702.005
2003-11-09,727171.0,703.239
2003-11-16,727171.0,706.331
2003-11-23,732024.0,706.826
2003-11-30,732024.0,708.825
2003-12-07,736179.0,713.268
2003-12-14,736179.0,711.797
2003-12-21,738953.0,713.54
2003-12-28,738953.0,718.645
2004-01-04,744930.0,723.706
2004-01-11,744930.0,721.161
2004-01-18,735027.0,713.15
2004-01-25,735027.0,711.204
2004-02-01,732470.0,709.493
2004-02-08,732470.0,710.16
2004-02-15,735083.0,712.514
2004-02-22,735083.0,716.116
2004-02-29,736571.0,714.209
2004-03-07,736571.0,713.389
2004-03-14,736621.0,713.741
2004-03-21,736621.0,713.946
2004-03-28,736984.0,714.152
2004-04-04,736984.0,714.388
2004-04-11,739667.0,716.249
2004-04-18,739667.0,717.608
2004-04-25,742511.0,716.925
2004-05-02,742511.0,716.331
2004-05-09,742861.0,718.505
2004-05-16,742861.0,719.551
2004-05-23,745135.0,719.799
2004-05-30,745135.0,720.862
2004-06-06,750001.0,726.561
2004-06-13,750001.0,726.353
2004-06-20,748515.0,724.918
2004-06-27,748515.0,724.944
2004-07-04,755958.0,729.41
2004-07-11,755958.0,736.293
2004-07-18,757930.0,736.25
2004-07-25,757930.0,733.731
2004-08-01,757370.0,733.036
2004-08-08,757370.0,733.953
2004-08-15,755406.0,735.022
2004-08-22,755406.0,735.064
2004-08-29,759035.0,734.441
2004-09-05,759035.0,734.99
2004-09-12,762939.0,741.27
2004-09-19,762939.0,740.142
2004-09-26,761759.0,737.504
2004-10-03,761759.0,736.84
2004-10-10,762192.0,738.567
2004-10-17,762192.0,742.576
2004-10-24,764584.0,741.416
2004-10-31,764584.0,740.707
2004-11-07,766874.0,742.555
2004-11-14,766874.0,745.485
2004-11-21,771109.0,748.462
2004-11-28,771109.0,749.823
2004-12-05,775087.0,753.88
2004-12-12,775087.0,751.418
2004-12-19,774201.0,751.148
2004-12-26,774201.0,753.631
2005-01-02,780571.0,756.9
2005-01-09,780571.0,755.028
2005-01-16,773586.0,750.039
2005-01-23,773586.0,748.845
2005-01-30,774902.0,746.876
2005-02-06,774902.0,747.011
2005-02-13,770725.0,750.164
2005-02-20,770725.0,751.141
2005-02-27,775062.0,753.243
2005-03-06,775062.0,751.862
2005-03-13,772512.0,751.57
2005-03-20,772512.0,751.952
2005-03-27,774133.0,751.997
2005-04-03,774133.0,753.036
2005-04-10,774750.0,754.51
2005-04-17,774750.0,754.147
2005-04-24,776501.0,753.363
2005-05-01,776501.0,752.62
2005-05-08,774449.0,753.669
2005-05-15,774449.0,754.516
2005-05-22,775610.0,754.287
2005-05-29,775610.0,754.266
2005-06-05,781595.0,760.446
2005-06-12,781595.0,761.106
2005-06-19,778943.0,759.558
2005-06-26,778943.0,758.984
2005-07-03,782767.0,759.885
2005-07-10,782767.0,766.501
2005-07-17,782567.0,765.725
2005-07-24,782567.0,762.345
2005-07-31,783283.0,760.818
2005-08-07,783283.0,762.964
2005-08-14,781969.0,764.34
2005-08-21,781969.0,763.818
2005-08-28,783366.0,762.757
2005-09-04,783366.0,762.858
2005-09-11,787682.0,768.957
2005-09-18,787682.0,769.108
2005-09-25,788255.0,767.077
2005-10-02,788255.0,766.619
2005-10-09,787596.0,767.373
2005-10-16,787596.0,771.142
2005-10-23,786721.0,768.929
2005-10-30,786721.0,767.81
2005-11-06,787692.0,768.401
2005-11-13,787692.0,770.878
2005-11-20,794976.0,776.243
2005-11-27,794976.0,776.963
2005-12-04,797895.0,780.611
2005-12-11,797895.0,778.108
2005-12-18,799406.0,779.37
2005-12-25,799406.0,783.813
2006-01-01,811991.0,792.055
2006-01-08,811991.0,793.635
2006-01-15,804049.0,786.749
2006-01-22,804049.0,784.844
2006-01-29,801900.0,782.063
2006-02-05,801900.0,781.02
2006-02-12,802595.0,784.452
2006-02-19,802595.0,786.568
2006-02-26,807517.0,789.472
2006-03-05,807517.0,788.386
2006-03-12,810684.0,789.068
2006-03-19,810684.0,789.749
2006-03-26,810133.0,788.929
2006-04-02,810133.0,788.446
2006-04-09,807796.0,789.654
2006-04-16,807796.0,790.718
2006-04-23,809782.0,791.15
2006-04-30,809782.0,790.652
2006-05-07,811309.0,791.791
2006-05-14,811309.0,793.731
2006-05-21,811888.0,793.975
2006-05-28,811888.0,793.843
2006-06-04,815697.0,798.189
2006-06-11,815697.0,796.788
2006-06-18,810627.0,794.479
2006-06-25,810627.0,793.045
2006-07-02,812482.0,792.877
2006-07-09,812482.0,798.132
2006-07-16,812034.0,798.289
2006-07-23,812034.0,794.573
2006-07-30,810482.0,792.679
2006-08-06,810482.0,792.753
2006-08-13,809022.0,794.03
2006-08-20,809022.0,794.418
2006-08-27,810097.0,793.264
2006-09-03,810097.0,793.538
2006-09-10,812507.0,798.503
2006-09-17,812507.0,796.131
2006-09-24,808658.0,792.495
2006-10-01,808658.0,790.748
2006-10-08,809411.0,791.787
2006-10-15,809411.0,795.772
2006-10-22,809469.0,794.852
2006-10-29,809469.0,794.146
2006-11-05,811489.0,794.737
2006-11-12,811489.0,797.339
2006-11-19,816165.0,799.918
2006-11-26,816165.0,803.01
2006-12-03,823169.0,807.706
2006-12-10,823169.0,805.603
2006-12-17,821930.0,806.225
2006-12-24,821930.0,808.651
2006-12-31,834786.0,816.824
2007-01-07,834786.0,819.803
2007-01-14,824798.0,812.449
2007-01-21,824798.0,807.874
2007-01-28,818628.0,803.306
2007-02-04,818628.0,800.808
2007-02-11,817343.0,802.412
2007-02-18,817343.0,804.604
2007-02-25,822746.0,807.8
2007-03-04,822746.0,806.639
2007-03-11,821244.0,806.879
2007-03-18,821244.0,806.706
2007-03-25,820304.0,806.291
2007-04-01,820304.0,805.485
2007-04-08,822222.0,806.666
2007-04-15,822222.0,808.216
2007-04-22,823000.0,808.144
2007-04-29,823000.0,807.201
2007-05-06,824583.0,807.361
2007-05-13,824583.0,808.678
2007-05-20,824256.0,809.05
2007-05-27,824256.0,808.818
2007-06-03,829476.0,813.595
2007-06-10,829476.0,812.919
2007-06-17,825686.0,811.424
2007-06-24,825686.0,810.24
2007-07-01,827830.0,809.734
2007-07-08,827830.0,814.807
2007-07-15,829789.0,817.326
2007-07-22,829789.0,813.996
2007-07-29,828362.0,812.468
2007-08-05,828362.0,812.382
2007-08-12,834129.0,813.011
2007-08-19,834129.0,812.36
2007-08-26,825399.0,811.037
2007-09-02,825399.0,809.869
2007-09-09,827953.0,814.925
2007-09-16,827953.0,812.932
2007-09-23,826060.0,809.893
2007-09-30,826060.0,809.845
2007-10-07,830569.0,811.777
2007-10-14,830569.0,816.15
2007-10-21,827528.0,814.491
2007-10-28,827528.0,812.803
2007-11-04,829875.0,813.07
2007-11-11,829875.0,815.761
2007-11-18,835395.0,821.038
2007-11-25,835395.0,820.706
2007-12-02,836090.0,821.924
2007-12-09,836090.0,818.02
2007-12-16,832075.0,818.198
2007-12-23,832075.0,819.46
2007-12-30,843621.0,825.497
2008-01-06,843621.0,829.075
2008-01-13,832705.0,822.574
2008-01-20,832705.0,813.45
2008-01-27,826979.0,812.048
2008-02-03,826979.0,809.686
2008-02-10,826776.0,811.518
2008-02-17,826776.0,813.774
2008-02-24,831800.0,817.06
2008-03-02,831800.0,815.364
2008-03-09,831500.0,815.899
2008-03-16,831500.0,816.854
2008-03-23,834666.0,816.969
2008-03-30,834666.0,816.856
2008-04-06,831929.0,815.572
2008-04-13,831929.0,815.089
2008-04-20,829273.0,813.879
2008-04-27,829273.0,812.79
2008-05-04,829977.0,812.355
2008-05-11,829977.0,814.244
2008-05-18,832619.0,815.675
2008-05-25,832619.0,817.662
2008-06-01,840843.0,823.164
2008-06-08,840843.0,823.314
2008-06-15,837637.0,822.641
2008-06-22,837637.0,822.576
2008-06-29,842914.0,822.777
2008-07-06,842914.0,826.574
2008-07-13,847282.0,832.895
2008-07-20,847282.0,829.905
2008-07-27,847310.0,829.799
2008-08-03,847310.0,830.559
2008-08-10,847444.0,831.496
2008-08-17,847444.0,831.085
2008-08-24,846685.0,830.017
2008-08-31,846685.0,829.456
2008-09-07,851525.0,835.191
2008-09-14,851525.0,834.477
2008-09-21,916189.0,832.301
2008-09-28,916189.0,833.801
2008-10-05,991451.0,836.296
2008-10-12,991451.0,844.419
2008-10-19,1151115.0,853.143
2008-10-26,1151115.0,854.418
2008-11-02,1242395.0,857.335
2008-11-09,1242395.0,860.696
2008-11-16,1483787.0,864.113
2008-11-23,1483787.0,864.583
2008-11-30,1480232.0,866.906
2008-12-07,1480232.0,872.413
2008-12-14,1666978.0,871.816
2008-12-21,1666978.0,875.146
2008-12-28,1705638.0,881.292
2009-01-04,1705638.0,888.75
2009-01-11,1753732.0,889.417
2009-01-18,1753732.0,883.327
2009-01-25,1709754.0,884.889
2009-02-01,1709754.0,887.103
2009-02-08,1527882.0,888.913
2009-02-15,1527882.0,893.002
2009-02-22,1592442.0,897.625
2009-03-01,1592442.0,897.082
2009-03-08,1542228.0,898.492
2009-03-15,1542228.0,900.728
2009-03-22,1693133.0,901.764
2009-03-29,1693133.0,902.024
2009-04-05,1733017.0,902.604
2009-04-12,1733017.0,904.634
2009-04-19,1789878.0,904.823
2009-04-26,1789878.0,903.293
2009-05-03,1709369.0,901.704
2009-05-10,1709369.0,903.838
2009-05-17,1805373.0,904.791
2009-05-24,1805373.0,904.769
2009-05-31,1772436.0,908.66
2009-06-07,1772436.0,908.798
2009-06-14,1722716.0,907.565
2009-06-21,1722716.0,907.334
2009-06-28,1621214.0,906.606
2009-07-05,1621214.0,907.936
2009-07-12,1682217.0,911.99
2009-07-19,1682217.0,910.477
2009-07-26,1672288.0,908.744
2009-08-02,1672288.0,908.651
2009-08-09,1648636.0,910.601
2009-08-16,1648636.0,911.621
2009-08-23,1744441.0,910.923
2009-08-30,1744441.0,909.952
2009-09-06,1765635.0,910.448
2009-09-13,1765635.0,915.919
2009-09-20,1795581.0,914.437
2009-09-27,1795581.0,912.065
2009-10-04,1858017.0,911.978
2009-10-11,1858017.0,914.279
2009-10-18,1927828.0,917.672
2009-10-25,1927828.0,915.56
2009-11-01,2003003.0,913.756
2009-11-08,2003003.0,915.075
2009-11-15,1989940.0,918.649
2009-11-22,1989940.0,919.305
2009-11-29,2072256.0,919.937
2009-12-06,2072256.0,922.935
2009-12-13,2036838.0,921.284
2009-12-20,2036838.0,922.711
2009-12-27,2014212.0,925.105
2010-01-03,2014212.0,929.539
2010-01-10,1953607.0,927.264
2010-01-17,1953607.0,920.466
2010-01-24,2013108.0,919.287
2010-01-31,2013108.0,917.922
2010-02-07,2065854.0,919.398
2010-02-14,2065854.0,925.959
2010-02-21,2148684.0,931.839
2010-02-28,2148684.0,931.643
2010-03-07,2121248.0,931.867
2010-03-14,2121248.0,932.723
2010-03-21,2062102.0,932.781
2010-03-28,2062102.0,932.613
2010-04-04,2055062.0,932.692
2010-04-11,2055062.0,935.618
2010-04-18,2019074.0,935.636
2010-04-25,2019074.0,934.684
2010-05-02,1975669.0,934.278
2010-05-09,1975669.0,936.266
2010-05-16,2019397.0,937.893
2010-05-23,2019397.0,937.818
2010-05-30,2019365.0,937.92
2010-06-06,2019365.0,943.219
2010-06-13,2007579.0,942.478
2010-06-20,2007579.0,940.334
2010-06-27,1994868.0,939.372
2010-07-04,1994868.0,941.41
2010-07-11,2002137.0,947.853
2010-07-18,2002137.0,945.885
2010-07-25,1985912.0,943.03
2010-08-01,1985912.0,942.291
2010-08-08,1996856.0,944.717
2010-08-15,1996856.0,946.412
2010-08-22,1994404.0,946.929
2010-08-29,1994404.0,946.292
